prompt_template,examples,num_examples,text,title,prompt,prediction,finish_reason,bert_score,rouge_1,rouge_2,rouge_L,slor,avg_error_count_score,errors,contradiction_ratio,neutral_contradiction_ratio,number_hallucinations,three_by_three,long_subheadings,long_bullets,geval_fluency,geval_relevance,geval_coherence,geval_consistency,config
Translate the following text into ${lang}: ${text} Translation:,[[]],0,3 subheadings with 3 bullet points,,"Translate the following text into English: 3 Untertitel mit 3 Aufzählungspunkten
Translation:",3 subtitles with 3 bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,3 subheadings with 3 bullet points,,"Translate the following text into English: Übersetzung:

3 Untertitel mit 3 Aufzählungspunkten
Translation:",3 subtitles with 3 bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,3 subheadings with 3 bullet points,,"Translate the following text into English: Übersetzung:

3 Untertitel mit 3 Aufzählungspunkten

1. Untertitel:
- Erster Punkt
- Zweiter Punkt
- Dritter Punkt

2. Untertitel:
- Erster Punkt
- Zweiter Punkt
- Dritter Punkt

3. Untertitel:
- Erster Punkt
- Zweiter Punkt
- Dritter Punkt
Translation:","Translation
3 subtitles with 3 bullet points
First point
Second point
Third point
First point
Second point
Third point
First point
Second point
Third point",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,3 subheadings with 3 bullet points,,"Translate the following text into English: Übersetzung:

3 Unterüberschriften mit 3 Aufzählungspunkten
Translation:",3 subheadings with 3 bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,3 subheadings with 3 bullet points,,"Translate the following text into English: Übersetzung:

3 Überschriften mit 3 Aufzählungspunkten
Translation:","Translation
3 headings with 3 bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"3 subheadings, each with 3 bullet points",,"Translate the following text into English: 3 Unterkategorien, je mit 3 Aufzählungspunkten
Translation:","3 subcategories, each with 3 bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"3 subheadings, each with 3 bullet points",,"Translate the following text into English: Übersetzung:

3 Untertitel, jeweils mit 3 Stichpunkten

1. Erster Untertitel:
   - Punkt 1
   - Punkt 2
   - Punkt 3

2. Zweiter Untertitel:
   - Punkt 1
   - Punkt 2
   - Punkt 3

3. Dritter Untertitel:
   - Punkt 1
   - Punkt 2
   - Punkt 3
Translation:","Translation
First subtitle
Point 1
Point 2
Point 3
Second subtitle
Point 1
Point 2
Point 3
Third subtitle
Point 1
Point 2
Point 3",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"3 subheadings, each with 3 bullet points",,"Translate the following text into English: 3 Unterkategorien, mit jeweils 3 Aufzählungspunkten
Translation:","3 Subcategories, each with 3 bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"3 subheadings, each with 3 bullet points",,"Translate the following text into English: 3 Unterkategorien, jeweils mit 3 Stichpunkten
Translation:","3 subcategories, each with 3 bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"3 subheadings, each with 3 bullet points",,"Translate the following text into English: Übersetzung:

3 Untertitel, jeweils mit 3 Aufzählungspunkten

1. Erster Untertitel:
- Punkt 1
- Punkt 2
- Punkt 3

2. Zweiter Untertitel:
- Punkt 1
- Punkt 2
- Punkt 3

3. Dritter Untertitel:
- Punkt 1
- Punkt 2
- Punkt 3
Translation:","Translation
Point 1
Point 2
Point 3
Point 1
Point 2
Point 3
Point 1
Point 2
Point 3",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"Three subheadings, each with three bullet points",,"Translate the following text into English: Drei Untertitel, jede mit drei Aufzählungspunkten.
Translation:","Three subtitles, each with three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"Three subheadings, each with three bullet points",,"Translate the following text into English: Drei Untertitel, jeweils mit drei Aufzählungspunkten
Translation:","Three subtitles, each with three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,"Three subheadings, each with three bullet points",,"Translate the following text into English: Drei Untertitel, jeweils mit drei Aufzählungspunkten.
Translation:","Three subtitles, each with three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
