prompt_template,examples,num_examples,text,title,prompt,prediction,finish_reason,bert_score,rogue_1,rogue_2,rogue_L,slor,avg_error_count_score,errors,contradiction_ratio,neutral_contradiction_ratio,number_hallucinations,three_by_three,long_subheadings,long_bullets,geval_fluency,geval_relevance,geval_coherence,geval_consistency,config
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,relevant,,Paraphrase the following text: relevant Paraphrased text:,"The text is asking for a paraphrased version of a given text, but no specific text is mentioned. Can you please provide the original text that you would like me to paraphrase?",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,relevant,,Paraphrase the following text: relevant Paraphrased text:,The text should be given as input in order to paraphrase it. Please provide the original text you'd like me to paraphrase,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,relevant,,Paraphrase the following text: relevant Paraphrased text:,"The text should be rewritten in your own words. However, you haven't provided the original text, so I'm unable to paraphrase it for you. Please provide the original text, and I'll be happy to assist you",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,relevant,,Paraphrase the following text: relevant Paraphrased text:,Paraphrased: Pertinent,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,relevant,,Paraphrase the following text: relevant Paraphrased text:,The mentioned information is significant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,pertinent,,Paraphrase the following text: pertinent Paraphrased text:,relevant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,pertinent,,Paraphrase the following text: pertinent Paraphrased text:,relevant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,pertinent,,Paraphrase the following text: pertinent Paraphrased text:,relevant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,pertinent,,Paraphrase the following text: pertinent Paraphrased text:,relevant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,pertinent,,Paraphrase the following text: pertinent Paraphrased text:,relevant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
