prompt_template,examples,num_examples,text,title,prompt,prediction,finish_reason,bert_score,rogue_1,rogue_2,rogue_L,slor,avg_error_count_score,errors,contradiction_ratio,neutral_contradiction_ratio,number_hallucinations,three_by_three,long_subheadings,long_bullets,geval_fluency,geval_relevance,geval_coherence,geval_consistency,config
Translate the following text into ${lang}: ${text} Translation:,[[]],0,relevant,,"Translate the following text into English: relevant
Translation:",pertinent or applicable,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,relevant,,"Translate the following text into English: relevant
Translation:",pertinent or related,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,relevant,,"Translate the following text into English: relevant
Translation:",pertinent,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,relevant,,"Translate the following text into English: relevant
Translation:",pertinent or applicable,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,relevant,,"Translate the following text into English: relevant
Translation:",pertinent or related,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,pertinent,,"Translate the following text into English: relevant
Translation:",pertinent or applicable,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,pertinent,,"Translate the following text into English: relevant
Translation:",pertinent or related,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,pertinent,,"Translate the following text into English: relevante
Translation:",relevant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,pertinent,,"Translate the following text into English: relevant
Translation:",pertinent or significant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,pertinent,,"Translate the following text into English: entsprechend- relevant, angebracht, passend, relevant
Translation:","accordingly- relevant, appropriate, fitting, relevant",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,important,,"Translate the following text into English: wichtig
Translation:",important,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,important,,"Translate the following text into English: wichtig
Translation:",important,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,important,,"Translate the following text into English: wichtig
Translation:",important,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,important,,"Translate the following text into English: wichtig
Translation:",important,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,important,,"Translate the following text into English: wichtig
Translation:",important,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,meaningful,,"Translate the following text into English: bedeutungsvoll
Translation:",meaningful,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,meaningful,,"Translate the following text into English: bedeutungsvoll or sinnvoll
Translation:",meaningful or significant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,meaningful,,"Translate the following text into English: bedeutungsvoll/ sinnvoll
Translation:",meaningful/ meaningful,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,meaningful,,"Translate the following text into English: bedeutungsvoll
Translation:",meaningful,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,meaningful,,"Translate the following text into English: bedeutungsvoll
Translation:",meaningful,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,significant,,"Translate the following text into English: bedeutend
Translation:",significant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1.0, 'top_p': 1, 'n': 1, 'stop': None}"
