prompt_template,examples,num_examples,text,title,prompt,prediction,finish_reason,bert_score,rouge_1,rouge_2,rouge_L,slor,avg_error_count_score,errors,contradiction_ratio,neutral_contradiction_ratio,number_hallucinations,three_by_three,long_subheadings,long_bullets,geval_fluency,geval_relevance,geval_coherence,geval_consistency,config
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-constructed,,Paraphrase the following text: well-constructed Paraphrased text:,A carefully built or properly formed piece of text,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-constructed,,Paraphrase the following text: well-constructed Paraphrased text:,The text has been written skillfully,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-constructed,,Paraphrase the following text: well-constructed Paraphrased text:,adequately built,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-constructed,,Paraphrase the following text: well-constructed Paraphrased text:,adequately constructed,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-constructed,,Paraphrase the following text: well-constructed Paraphrased text:,effectively built,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-organized,,Paraphrase the following text: well-organized Paraphrased text:,properly arranged,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-organized,,Paraphrase the following text: well-organized Paraphrased text:,efficiently structured,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-organized,,Paraphrase the following text: well-organized Paraphrased text:,efficiently arranged,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-organized,,Paraphrase the following text: well-organized Paraphrased text:,efficiently structured,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-organized,,Paraphrase the following text: well-organized Paraphrased text:,efficiently arranged,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-arranged,,Paraphrase the following text: well-arranged Paraphrased text:,nicely organized,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-arranged,,Paraphrase the following text: well-arranged Paraphrased text:,organized,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-arranged,,Paraphrase the following text: well-arranged Paraphrased text:,well-organized,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-arranged,,Paraphrase the following text: well-arranged Paraphrased text:,organized or systematically arranged,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-arranged,,Paraphrase the following text: well-arranged Paraphrased text:,properly organized,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-ordered,,Paraphrase the following text: well-ordered Paraphrased text:,organized in a neat and systematic manner,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-ordered,,Paraphrase the following text: well-ordered Paraphrased text:,organized in a systematic manner,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,well-ordered,,Paraphrase the following text: well-ordered Paraphrased text:,orderly,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
