prompt_template,examples,num_examples,text,title,prompt,prediction,finish_reason,bert_score,rogue_1,rogue_2,rogue_L,slor,avg_error_count_score,errors,contradiction_ratio,neutral_contradiction_ratio,number_hallucinations,three_by_three,long_subheadings,long_bullets,geval_fluency,geval_relevance,geval_coherence,geval_consistency,config
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 subheadings with 3 bullet points,,Paraphrase the following text: 3 subheadings with 3 bullet points Paraphrased text:,"The text is asking for a paraphrased version of three subheadings each accompanied by three bullet points. Without knowing the specific content of the subheadings and bullet points, it is not possible to provide an accurate paraphrase. However, a general paraphrase of the request would be to rephrase the three main topics using alternative wording, and then provide three concise points for each topic using different phrasing",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 subheadings with 3 bullet points,,Paraphrase the following text: 3 subheadings with 3 bullet points Paraphrased text:,Three subsections containing three bullet points each,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 subheadings with 3 bullet points,,Paraphrase the following text: 3 subheadings with 3 bullet points Paraphrased text:,The text can't be paraphrased without having the original text provided. Please provide the original text so I can assist you with the paraphrasing,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 subheadings with 3 bullet points,,Paraphrase the following text: 3 subheadings with 3 bullet points Paraphrased text:,"The text is requesting a paraphrase of a section that contains three subheadings, each with three bullet points. Unfortunately, no specific text is provided, so a paraphrase cannot be generated",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 subheadings with 3 bullet points,,Paraphrase the following text: 3 subheadings with 3 bullet points Paraphrased text:,Three main headings consisting of three bullet points rewritten as follows,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"3 subheadings, each with 3 bullet points",,"Paraphrase the following text: 3 subheadings, each with 3 bullet points Paraphrased text:",The paraphrased text would depend on the specific content of the original text. Please provide the original text that needs to be paraphrased,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"3 subheadings, each with 3 bullet points",,"Paraphrase the following text: 3 subheadings, each with 3 bullet points Paraphrased text:","The text is broken down into three main sections, each containing three key points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"3 subheadings, each with 3 bullet points",,"Paraphrase the following text: 3 subheadings, each with 3 bullet points Paraphrased text:","There are three main sections in the text, with each section containing three key points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"3 subheadings, each with 3 bullet points",,"Paraphrase the following text: 3 subheadings, each with 3 bullet points Paraphrased text:",Three categories with three points each in alternative wording,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"3 subheadings, each with 3 bullet points",,"Paraphrase the following text: 3 subheadings, each with 3 bullet points Paraphrased text:","There are three sections headers, with each containing three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Three subheadings, each with three bullet points",,"Paraphrase the following text: Three subheadings, each with three bullet points Paraphrased text:","There are three sections, each containing three points that are listed using bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Three subheadings, each with three bullet points",,"Paraphrase the following text: Three subheadings, each with three bullet points Paraphrased text:","Three headings, each containing a list of three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Three subheadings, each with three bullet points",,"Paraphrase the following text: Three subheadings, each with three bullet points Paraphrased text:","There are three sections, and each section is divided into three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Three subheadings, each with three bullet points",,"Paraphrase the following text: Three subheadings, each with three bullet points Paraphrased text:",Three divisions with a set of three items,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Three subheadings, each with three bullet points",,"Paraphrase the following text: Three subheadings, each with three bullet points Paraphrased text:","Three sections, each containing a list of three points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 x 3 subheadings and bullet points,,Paraphrase the following text: 3 x 3 subheadings and bullet points Paraphrased text:,Subsections consisting of three headings and three bullet points have been rephrased,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 x 3 subheadings and bullet points,,Paraphrase the following text: 3 x 3 subheadings and bullet points Paraphrased text:,The text has been transformed into three subheadings and presented in bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 x 3 subheadings and bullet points,,Paraphrase the following text: 3 x 3 subheadings and bullet points Paraphrased text:,The information is organized into three subheadings with bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 x 3 subheadings and bullet points,,Paraphrase the following text: 3 x 3 subheadings and bullet points Paraphrased text:,"Three subheadings and bullet points were created for each of the three sections
The original text has been rephrased to convey the same meaning",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 x 3 subheadings and bullet points,,Paraphrase the following text: 3 x 3 subheadings and bullet points Paraphrased text:,"Text: 3 x 3 subheadings and bullet points
Paraphrased text: A structure consisting of three subheadings and bullet points in groups of three",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 by 3 subheadings with bullet points,,Paraphrase the following text: 3 by 3 subheadings with bullet points Paraphrased text:,"The text has been broken down into three sections, each with bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 by 3 subheadings with bullet points,,Paraphrase the following text: 3 by 3 subheadings with bullet points Paraphrased text:,"The text is asking for a paraphrase of a structure that includes three subheadings with bullet points. However, without the actual text or any specific information about the content, it is not possible to provide a paraphrase",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 by 3 subheadings with bullet points,,Paraphrase the following text: 3 by 3 subheadings with bullet points Paraphrased text:,Rephrased text: Labeled as 3 by 3 headings and utilizing bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 by 3 subheadings with bullet points,,Paraphrase the following text: 3 by 3 subheadings with bullet points Paraphrased text:,A set of three subheadings consisting of bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,3 by 3 subheadings with bullet points,,Paraphrase the following text: 3 by 3 subheadings with bullet points Paraphrased text:,Three sets of three headings with bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,Three subheadings with three corresponding bullet points,,Paraphrase the following text: Three subheadings with three corresponding bullet points Paraphrased text:,There are three subheadings along with three bullet points that correspond to each subheading,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,Three subheadings with three corresponding bullet points,,Paraphrase the following text: Three subheadings with three corresponding bullet points Paraphrased text:,The text has been paraphrased into: There are three subheadings along with three bullet points that correspond to them,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,Three subheadings with three corresponding bullet points,,Paraphrase the following text: Three subheadings with three corresponding bullet points Paraphrased text:,There are three subheadings accompanied by three corresponding bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,Three subheadings with three corresponding bullet points,,Paraphrase the following text: Three subheadings with three corresponding bullet points Paraphrased text:,The text is talking about three subheadings and their respective bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,Three subheadings with three corresponding bullet points,,Paraphrase the following text: Three subheadings with three corresponding bullet points Paraphrased text:,Three sections with three accompanying bullet points,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Output must be three subheadings, each with three bullet points",,"Paraphrase the following text: Output must be three subheadings, each with three bullet points Paraphrased text:","The desired result should consist of three titles, each containing three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Output must be three subheadings, each with three bullet points",,"Paraphrase the following text: Output must be three subheadings, each with three bullet points Paraphrased text:","The desired result should consist of three main headings, and each heading should include three itemized points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Output must be three subheadings, each with three bullet points",,"Paraphrase the following text: Output must be three subheadings, each with three bullet points Paraphrased text:","The desired result should consist of three main headings, each having three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Paraphrase the following text: ${text} Paraphrased text:,[[]],0,"Output must be three subheadings, each with three bullet points",,"Paraphrase the following text: Output must be three subheadings, each with three bullet points Paraphrased text:","The desired result should consist of three main headings, each containing three bullet points",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
