prompt_template,examples,num_examples,text,title,prompt,prediction,finish_reason,bert_score,rogue_1,rogue_2,rogue_L,slor,avg_error_count_score,errors,contradiction_ratio,neutral_contradiction_ratio,number_hallucinations,three_by_three,long_subheadings,long_bullets,geval_fluency,geval_relevance,geval_coherence,geval_consistency,config
Translate the following text into ${lang}: ${text} Translation:,[[]],0,articulate,,"Translate the following text into English: artikulieren
Translation:",to articulate,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,articulate,,"Translate the following text into English: verständlich, klar ausdrücken
Translation:",express clearly and comprehensibly,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,articulate,,"Translate the following text into English: ausdrücken
Translation:",express,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,articulate,,"Translate the following text into English: artikulieren
Translation:",articulate,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,articulate,,"Translate the following text into English: deutlich äußern
Translation:",express clearly,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,eloquent,,"Translate the following text into English: eloquent = wortgewandt, beredt
Translation:","eloquent = articulate, fluent, expressive, persuasive, well-spoken",stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,eloquent,,"Translate the following text into English: elegant
Translation:",elegant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,eloquent,,"Translate the following text into English: ausdrucksstark
Translation:",expressive or full of expression,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,eloquent,,"Translate the following text into English: eloquent: wortgewandt
Translation:",eloquent: articulate or fluent,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,eloquent,,"Translate the following text into English: elegant
Translation:",elegant,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,well-written,,"Translate the following text into English: gut geschrieben
Translation:",well written,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,well-written,,"Translate the following text into English: gut geschrieben
Translation:",well written,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
Translate the following text into ${lang}: ${text} Translation:,[[]],0,well-written,,"Translate the following text into English: gut geschrieben
Translation:",well written,stop,[],[],[],[],0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,"{'model': 'gpt-3.5-turbo-16k', 'suffix': '', 'temperature': 1, 'top_p': 1, 'n': 1, 'stop': None}"
